Store Name,Store Type,Geometry,Latitude,Longitude,Address
Subway,healthy fast food,"38.87810059441161, -77.01840877758376",38.878100594412,-77.018408777584,"1101 4th St SW 4th Street Bldg, Unit 130, Washington, DC 20024"
Subway,healthy fast food,"38.88716634831823, -77.02253401510842",38.887166348318,-77.022534015108,"Cafe Second Floor, 800 Independence Ave SW #10A, Washington, DC 20553"
Subway,healthy fast food,"38.90094858751069, -76.98173761595388",38.900948587511,-76.981737615954,"1500 Benning Rd NE, Washington, DC 20002"
Subway,healthy fast food,"38.93433885867025, -76.99155450104612",38.934338858670,-76.991554501046,"3504 12th St NE, Washington, DC 20017"
Subway,healthy fast food,"38.94201639840272, -77.00082421481497",38.942016398403,-77.000824214815,"333 Hawaii Ave NE Unit 3, Washington, DC 20011"
Subway,healthy fast food,"38.94622200269458, -76.97790742151867",38.946222002695,-76.977907421519,"1901 Michigan Ave NE, Washington, DC 20018"
Subway,healthy fast food,"38.921873604140785, -77.02162742844509",38.921873604141,-77.021627428445,"2301-B Georgia Ave NW, Washington, DC 20001"
Subway,healthy fast food,"38.90130344190852, -77.00978279358196",38.901303441909,-77.009782793582,"800 North Capitol St NW, Washington, DC 20002"
Subway,healthy fast food,"38.90177101179337, -77.017507555056",38.901771011793,-77.017507555056,"455 Massachusetts Ave NW fl 1, Washington, DC 20001"
Subway,healthy fast food,"38.90384164141503, -77.00626373557712",38.903841641415,-77.006263735577,"90 K St NE Suite 105, Washington, DC 20002"
Subway,healthy fast food,"38.90154557647938, -76.93298578721853",38.901545576479,-76.932985787219,"4800 Nannie Helen Burroughs Ave NE, Washington, DC 20019"
Subway,healthy fast food,"38.89473208922737, -76.94980860109533",38.894732089227,-76.949808601095,"3950 Minnesota Ave NE, Washington, DC 20019"
Subway,healthy fast food,"38.8905902383103, -76.93710566000468",38.890590238310,-76.937105660005,"4518 Benning Rd SE, Washington, DC 20019"
Subway,healthy fast food,"38.871372564604286, -76.95929289325834",38.871372564604,-76.959292893258,"3204 Pennsylvania Ave. SE, Washington, DC 20020"
Subway,healthy fast food,"38.860145235050155, -76.96581602516977",38.860145235050,-76.965816025170,"2861 Alabama Ave SE, Washington, DC 20020"
Subway,healthy fast food,"38.86789762783598, -76.98418379190623",38.867897627836,-76.984183791906,"1412 Good Hope Rd SE, Washington, DC 20020"
Subway,healthy fast food,"38.84904982240247, -76.98040724316672",38.849049822402,-76.980407243167,"1551 Alabama Ave SE, Washington, DC 20020"
